userid,twitterid
1151128169249816577,ohmydew_
178690996,richbrian
1352785548767760385,txtdarisadboys
4271904372,BudeSumiyati
1359357423580925953,jiims
1189893918898315265,diarysad__
1264551430221787136,Indriin4
2754233982,Niken_2508
1240667654844600321,yaellahboy
1227400718253883392,sobatberiman
1195552820977496064,chsstea
1346708736186806272,DesiPutrr
1347074977296650241,AuliaZeeny
1346341804627509253,DenitaPtrrr
1347055770777522176,ZulfaAyu6
1346292210342379520,AjengSalsabia
1346048646349901824,ayunita_aulia
1364839910843117569,AzizBanni
1364840879647641600,JordyAndi
1340967042833240064,ZakiahAyu3
1340941664378994691,DindaFajriza11
1348501614710018051,PutriRianaaa1
1175059219206172677,aglkeanu
1341221820721053697,KhanzaPtrri
1349187648510775298,AdimasCahya1
543842065,bayugantinama
1321241281163489280,caperlau_
1354609845366788103,JEJONDRA
1188140917812654086,Nad_Su31
