userid,twitterid
902800324615856129,['iYPpt03tS5mwbhc']
898513023366778881,['42nZ0PYfD1sSDM7']
898583056042385408,['7qhp85nxHpUvHq7']
898582515216252931,['CmNJ8Qgom3tCfG3']
902799025241456641,['CvxSREnqGPniBJg']
902785416096514048,['Rablpt3mrP0dLtg']
898510837392035841,['DrRwefLlr0zUeff']
898583590497390593,['seiUrvDuW41XYPR']
898583664644194304,['79DgZOdl3c3CBli']
1010738701,['segurobaratowr']
902819136220401664,['fnW8lC20Qs3eXI6']
1100698700085645313,['espino90700']
898518925180358656,['JMhDH03YS9UtqDL']
898518107270115328,['ckmxf5F5IXnXrSw']
902818681503309825,['R3LO27bPLma0Ojv']
1072314869993488384,['N50zAaIY7cZ90kp']
898512088628432896,['2DDGctHJ4EV3Slk']
898518276552216576,['M1oRhIy9m3RUauc']
762470844081639426,['GameLootLatino']
898578790342942721,['JognsgiekvORVPO']
4806517036,['HelenEricksonx']
898581615286386689,['ZUanc3Ytke3lfuE']
902819955586019328,['8Me2RKaLk6Qqw4m']
898513062143119360,['c0ohKuNpqdVPSI1']
979184080322351105,['jKlZ7uTRXuBcoPG']
898519380379787265,['L0Kau0QWmxzsTIb']
902782410953252864,['IEm8onsUrtoZzoN']
895487242222710784,['Ltq06JGZtDg4IcS']
898580382899154944,['nRYpkXzAM5OjTeT']
979186863964610561,['wcbtB3Exp7aca1B']
898518806565355520,['jaxfpUMBe8HHUiM']
1100699007729524736,['sornsin1194']
1081231923312295936,['Richard17700647']
721013848984129536,['gustavorsm2']
898510939628199936,['NSyVNOCMkgQBjlr']
902785683823239168,['6RbOZJPrph8ZRmK']
902787235157864448,['k8NkKN7pb9SKSjT']
902787187397230592,['AIcmPVPQV4MyXay']
3289017240,['tiberiyztrple']
922788861062930433,['chunya_jiang']
242916778,['pmessiano']
359922060,['souohomemdalua']
979184325236109314,['HzABKGzQ6DYjhmw']
1234895689,['iphone19801009']
898584903138390016,['KmGxU21l7WQUwAm']
4206231269,['CartoonbootyS']
901679525888700416,['JHVQkrUY47Zlzbd']
746246819387039744,['Bayweche']
1071966574049816577,['JSmith7548']
902784744303284224,['suzCYNglOG8PCuv']
1063122753392439296,['NIMETwHrOYHped1']
